epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,916.914,5.68669,6.44144,4.3147,1.10906,2e-05,0.00016,1e-05,0,5.86031,12.7051,4.21863,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1374.93,4.50543,4.62942,3.17476,0.99534,0.34515,0.0442,0.01364,0.00486,3.09993,2.66835,1.70128,0,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298,0.00999447,0.00333149,0.0399779,0.013326
3,1768.63,2.91112,2.63731,1.54916,1.00406,0.24746,0.07596,0.02162,0.00741,3.0766,2.68494,1.41372,0,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817,0.0149823,0.00499409,0.059929,0.0199763
4,2226.07,2.47065,2.1951,1.30518,1.00024,0.21709,0.09909,0.04999,0.02245,2.47939,2.07581,1.25224,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.014967,0.00498902,0.0598682,0.0199561
5,2652.78,2.26039,1.96905,1.20274,1.0002,0.23108,0.1418,0.0765,0.03543,2.15063,1.76063,1.14372,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0149415,0.00498048,0.0597658,0.0199219
6,3087.39,2.12846,1.82809,1.15262,1.00021,0.17929,0.16885,0.10252,0.05153,1.97599,1.61991,1.09433,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0149086,0.00496953,0.0596343,0.0198781
7,3530.01,2.0532,1.72571,1.12269,0.99972,0.3055,0.19158,0.11733,0.05703,1.95004,1.57838,1.07892,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.0148685,0.00495616,0.0594739,0.0198246
8,4008.56,1.99615,1.66239,1.09998,1.00013,0.22599,0.20183,0.13151,0.06655,1.84481,1.49168,1.05217,0,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0148212,0.00494039,0.0592847,0.0197616
9,4484.99,1.94219,1.60042,1.08122,1.00018,0.22876,0.19109,0.1313,0.06668,1.82542,1.46424,1.05233,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0147667,0.00492224,0.0590669,0.019689
10,5011.42,1.9179,1.56321,1.06541,0.99991,0.25414,0.21068,0.14956,0.07744,1.77898,1.41715,1.03058,0,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0147052,0.00490173,0.0588207,0.0196069
