layer,expert,kernel_size,mean_weight,is_top_k
model.3,0,3,0.0,0
model.3,1,5,0.0,0
model.3,2,7,0.3620823323726654,1
model.3,3,9,0.6379175782203674,1
model.6,0,3,0.5377315878868103,1
model.6,1,5,0.4622684121131897,1
model.6,2,7,0.0,0
model.6,3,9,0.0,0
model.9,0,3,0.0,0
model.9,1,5,0.503863513469696,1
model.9,2,7,0.49613651633262634,1
model.9,3,9,0.0,0
model.12,0,3,0.3247864246368408,1
model.12,1,5,0.0,0
model.12,2,7,0.0,0
model.12,3,9,0.675213634967804,1
