layer,expert,kernel_size,mean_weight,is_top_k
model.3,0,3,0.0,0
model.3,1,5,0.0,0
model.3,2,7,0.10837294906377792,1
model.3,3,9,0.8916271924972534,1
model.6,0,3,0.49174973368644714,1
model.6,1,5,0.5082502961158752,1
model.6,2,7,0.0,0
model.6,3,9,0.0,0
model.9,0,3,0.0,0
model.9,1,5,0.5047226548194885,1
model.9,2,7,0.49527737498283386,1
model.9,3,9,0.0,0
model.12,0,3,0.6292409896850586,1
model.12,1,5,0.3707590103149414,1
model.12,2,7,0.0,0
model.12,3,9,0.0,0
