epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
37,28318.5,1.54976,1.22574,1.03637,0.01963,0.36213,0.26659,0.25586,0.1427,1.4389,1.0948,0.99356,0,0.006436,0.006436,0.006436,0.003218
38,29739.8,1.53485,1.21449,1.03096,0.01964,0.35468,0.27123,0.25603,0.14069,1.43445,1.09519,0.99114,0,0.006337,0.006337,0.006337,0.0031685
39,30704.4,1.53057,1.20973,1.02957,0.01965,0.35271,0.27612,0.25536,0.14271,1.42786,1.09315,0.98886,0,0.006238,0.006238,0.006238,0.003119
40,32113,1.52817,1.2017,1.02965,0.01964,0.3441,0.27169,0.25417,0.14334,1.4238,1.08979,0.98897,0,0.006139,0.006139,0.006139,0.0030695
41,33012.2,1.52641,1.20344,1.02979,0.01964,0.35142,0.27343,0.25755,0.14501,1.4222,1.08959,0.98852,0,0.00604,0.00604,0.00604,0.00302
42,33977.4,1.52289,1.19485,1.02919,0.01964,0.38189,0.27475,0.26029,0.14539,1.42301,1.08329,0.98807,0,0.005941,0.005941,0.005941,0.0029705
43,35435.8,1.53,1.19875,1.02799,0.01964,0.36799,0.27668,0.26345,0.14768,1.42588,1.08155,0.98703,0,0.005842,0.005842,0.005842,0.002921
44,36809.9,1.52903,1.20256,1.02589,0.01964,0.35612,0.27384,0.25942,0.14617,1.44346,1.10741,0.98428,0,0.005743,0.005743,0.005743,0.0028715
45,37718,1.53671,1.20406,1.02108,0.01964,0.35629,0.27852,0.2641,0.14765,1.44802,1.11028,0.98344,0,0.005644,0.005644,0.005644,0.002822
46,38891.9,1.5442,1.20958,1.01708,0.01962,0.36655,0.28149,0.26541,0.14939,1.44685,1.10853,0.9807,0,0.005545,0.005545,0.005545,0.0027725
47,39852.4,1.54354,1.20707,1.01806,0.01964,0.37401,0.28303,0.26935,0.14969,1.45111,1.1084,0.98185,0,0.005446,0.005446,0.005446,0.002723
48,41013.9,1.54274,1.20808,1.0129,0.01964,0.37011,0.27947,0.26973,0.15201,1.44554,1.10153,0.97821,0,0.005347,0.005347,0.005347,0.0026735
49,42353,1.54524,1.21142,1.01314,0.01963,0.36359,0.28384,0.27128,0.15274,1.44065,1.1041,0.97597,0,0.005248,0.005248,0.005248,0.002624
50,43422,1.53569,1.20569,1.0107,0.01964,0.3797,0.28377,0.27338,0.15441,1.44068,1.09763,0.97415,0,0.005149,0.005149,0.005149,0.0025745
51,49722.8,1.53026,1.19927,1.00602,0.01964,0.36997,0.29025,0.27215,0.15365,1.43139,1.09653,0.97246,0,0.00505,0.00505,0.00505,0.002525
52,52950.7,1.53296,1.19377,1.00399,0.01965,0.36931,0.28793,0.27553,0.1555,1.43118,1.09313,0.97222,0,0.004951,0.004951,0.004951,0.0024755
53,3622.59,1.52513,1.18318,1.00272,0.02067,0.36533,0.29129,0.27462,0.15558,1.42351,1.09104,0.96886,0,0.004852,0.004852,0.004852,0.002426
54,778.568,1.49532,1.15584,0.9935,0.02067,0.3604,0.29061,0.27412,0.15504,1.42798,1.08839,0.96945,0,0.004753,0.004753,0.004753,0.0023765
55,1701.37,1.52441,1.19133,1.00909,0.01966,0.37295,0.29266,0.27708,0.15626,1.42379,1.0828,0.9685,0,0.004654,0.004654,0.004654,0.002327
56,2464.04,1.52215,1.17744,0.99986,0.01964,0.36893,0.29283,0.27764,0.15778,1.4191,1.07973,0.96685,0,0.004555,0.004555,0.004555,0.0022775
57,3216.46,1.5201,1.1817,1.00302,0.01963,0.37777,0.29053,0.27952,0.15866,1.4174,1.07718,0.96554,0,0.004456,0.004456,0.004456,0.002228
58,4054.45,1.50371,1.16407,0.9978,0.01963,0.3742,0.29282,0.27908,0.1582,1.41852,1.08054,0.96454,0,0.004357,0.004357,0.004357,0.0021785
59,4811.13,1.50294,1.16513,0.9963,0.01964,0.37239,0.29811,0.28248,0.16013,1.41427,1.07247,0.96331,0,0.004258,0.004258,0.004258,0.002129
60,5585.38,1.5033,1.1635,0.99605,0.01964,0.38149,0.29351,0.28371,0.15989,1.4125,1.07058,0.96277,0,0.004159,0.004159,0.004159,0.0020795
61,6333.91,1.50247,1.1626,0.99559,0.01964,0.37527,0.29588,0.28277,0.16011,1.41147,1.06875,0.96253,0,0.00406,0.00406,0.00406,0.00203
62,7083.52,1.49606,1.15526,0.99401,0.01964,0.37636,0.29352,0.28342,0.16104,1.40976,1.06772,0.96199,0,0.003961,0.003961,0.003961,0.0019805
63,9051.38,1.49328,1.14884,0.99253,0.01964,0.37561,0.29865,0.28456,0.16193,1.4044,1.06413,0.96084,0,0.003862,0.003862,0.003862,0.001931
64,9801.79,1.49435,1.14521,0.99234,0.01964,0.37645,0.30181,0.28624,0.16168,1.40297,1.06375,0.9603,0,0.003763,0.003763,0.003763,0.0018815
65,11300.2,1.48828,1.14869,0.99364,0.01964,0.37278,0.29958,0.28526,0.16126,1.40335,1.06062,0.95984,0,0.003664,0.003664,0.003664,0.001832
66,12590.7,1.48493,1.13699,0.98894,0.01964,0.37666,0.29814,0.28469,0.1618,1.40391,1.06033,0.95921,0,0.003565,0.003565,0.003565,0.0017825
67,15556.7,1.48001,1.13356,0.98931,0.01964,0.38329,0.29612,0.28634,0.16318,1.40269,1.05854,0.95907,0,0.003466,0.003466,0.003466,0.001733
68,16631.1,1.48643,1.13654,0.99075,0.01964,0.3807,0.30062,0.28744,0.16379,1.39978,1.05659,0.95847,0,0.003367,0.003367,0.003367,0.0016835
69,17375.1,1.48264,1.13652,0.99167,0.01964,0.37558,0.29926,0.2866,0.16307,1.39951,1.05554,0.95729,0,0.003268,0.003268,0.003268,0.001634
70,18120.8,1.48446,1.13257,0.98958,0.01963,0.37717,0.30344,0.28726,0.16318,1.39873,1.05465,0.95787,0,0.003169,0.003169,0.003169,0.0015845
71,18877.8,1.47506,1.12583,0.98644,0.01965,0.37636,0.30663,0.28869,0.16487,1.39577,1.05154,0.9565,0,0.00307,0.00307,0.00307,0.001535
72,19624.6,1.47112,1.12369,0.98508,0.01919,0.37165,0.30525,0.28871,0.16431,1.39649,1.05097,0.95718,0,0.002971,0.002971,0.002971,0.0014855
73,20399.8,1.46912,1.11761,0.98527,0.01829,0.37568,0.30813,0.28821,0.16426,1.39101,1.05015,0.95575,0,0.002872,0.002872,0.002872,0.001436
74,21143.5,1.46943,1.11916,0.98603,0.01701,0.37894,0.30317,0.28768,0.1636,1.39074,1.04879,0.95622,0,0.002773,0.002773,0.002773,0.0013865
75,21894.2,1.46755,1.11379,0.98574,0.01542,0.37606,0.30301,0.28805,0.1635,1.39153,1.04801,0.95594,0,0.002674,0.002674,0.002674,0.001337
76,22651.2,1.4694,1.11494,0.98407,0.01363,0.37457,0.30977,0.2893,0.16372,1.38968,1.04572,0.95564,0,0.002575,0.002575,0.002575,0.0012875
77,23395.1,1.45531,1.10516,0.98391,0.01171,0.37421,0.3095,0.28917,0.16422,1.38774,1.04466,0.9551,0,0.002476,0.002476,0.002476,0.001238
78,24137.5,1.45451,1.10141,0.98135,0.0098,0.37638,0.30854,0.29049,0.16565,1.38748,1.04354,0.95431,0,0.002377,0.002377,0.002377,0.0011885
79,29281.3,1.45483,1.10142,0.97948,0.00797,0.37823,0.30552,0.29051,0.1654,1.38694,1.04296,0.95456,0,0.002278,0.002278,0.002278,0.001139
80,30034.8,1.45436,1.09957,0.98183,0.0063,0.38258,0.30829,0.29203,0.16604,1.38637,1.04017,0.9542,0,0.002179,0.002179,0.002179,0.0010895
81,30779.5,1.45313,1.09951,0.97835,0.00483,0.37986,0.30637,0.29197,0.16562,1.38463,1.04016,0.95396,0,0.00208,0.00208,0.00208,0.00104
82,39080.4,1.45629,1.10184,0.97954,0.00359,0.37861,0.31114,0.29311,0.16683,1.38352,1.03813,0.95377,0,0.001981,0.001981,0.001981,0.0009905
83,39798,1.44879,1.097,0.97881,0.00258,0.38438,0.30544,0.29349,0.16705,1.38437,1.03774,0.95403,0,0.001882,0.001882,0.001882,0.000941
84,40517.7,1.44523,1.09058,0.97647,0.0018,0.38215,0.3121,0.29472,0.16801,1.38247,1.0356,0.95332,0,0.001783,0.001783,0.001783,0.0008915
85,41245.4,1.4485,1.08914,0.97536,0.00121,0.38146,0.31267,0.29592,0.16825,1.38208,1.03489,0.95334,0,0.001684,0.001684,0.001684,0.000842
86,41962.4,1.43985,1.0851,0.97776,0.00079,0.3797,0.31504,0.29675,0.16907,1.38256,1.03437,0.95352,0,0.001585,0.001585,0.001585,0.0007925
87,43345.2,1.44352,1.08724,0.97649,0.00049,0.38029,0.31395,0.29548,0.16795,1.38178,1.03376,0.9526,0,0.001486,0.001486,0.001486,0.000743
88,44171.7,1.44265,1.08606,0.9762,0.0003,0.3844,0.31383,0.29542,0.16839,1.37972,1.0333,0.95235,0,0.001387,0.001387,0.001387,0.0006935
89,45378.9,1.43899,1.08443,0.97561,0.00017,0.38365,0.31369,0.29696,0.16949,1.37862,1.03234,0.95171,0,0.001288,0.001288,0.001288,0.000644
90,46102.6,1.44057,1.07721,0.97694,0.0001,0.38501,0.31467,0.29737,0.16907,1.37939,1.03226,0.95207,0,0.001189,0.001189,0.001189,0.0005945
91,48387.6,1.40801,1.05342,0.98196,5e-05,0.38685,0.31297,0.29603,0.16773,1.38306,1.03374,0.95294,0,0.00109,0.00109,0.00109,0.000545
92,49843.8,1.39718,1.03813,0.97929,3e-05,0.38744,0.31229,0.29588,0.16818,1.38463,1.03309,0.95348,0,0.000991,0.000991,0.000991,0.0004955
93,53857.3,1.39485,1.03495,0.97682,1e-05,0.39157,0.31079,0.29506,0.16829,1.38448,1.03306,0.95347,0,0.000892,0.000892,0.000892,0.000446
94,55129.8,1.39239,1.03107,0.97343,1e-05,0.39261,0.3123,0.29528,0.16767,1.38429,1.03208,0.95312,0,0.000793,0.000793,0.000793,0.0003965
95,58157.2,1.39103,1.02679,0.97377,0,0.39367,0.31072,0.29552,0.16801,1.3844,1.03272,0.95322,0,0.000694,0.000694,0.000694,0.000347
96,59495.6,1.38765,1.02311,0.97376,0,0.39497,0.30917,0.29526,0.16818,1.38366,1.03095,0.95318,0,0.000595,0.000595,0.000595,0.0002975
97,64698.3,1.38167,1.02203,0.97352,0,0.39489,0.30914,0.29566,0.16856,1.3834,1.03038,0.95306,0,0.000496,0.000496,0.000496,0.000248
98,66107.8,1.38191,1.01808,0.97302,0,0.39632,0.31154,0.29691,0.1688,1.38305,1.02949,0.95297,0,0.000397,0.000397,0.000397,0.0001985
99,68766,1.37863,1.01746,0.97179,0,0.39326,0.31241,0.29716,0.16885,1.38285,1.02935,0.95285,0,0.000298,0.000298,0.000298,0.000149
100,70272.2,1.37678,1.01309,0.97026,0,0.39373,0.31222,0.29773,0.16928,1.3826,1.02849,0.95288,0,0.000199,0.000199,0.000199,9.95e-05
