epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
24,9572.64,1.6642,1.25604,0.97515,0.34374,0.28576,0.2349,0.12659,1.57564,1.18841,0.95128,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0131446,0.00438152,0.0525783,0.0175261
25,9966.16,1.66607,1.25634,0.97182,0.36398,0.28871,0.24031,0.12974,1.57342,1.17946,0.95091,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0129876,0.0043292,0.0519504,0.0173168
26,10362,1.66895,1.24853,0.96718,0.37573,0.28299,0.24272,0.13064,1.55851,1.17132,0.94674,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0128253,0.00427509,0.0513011,0.0171004
27,10755.4,1.65611,1.23833,0.96505,0.3645,0.29,0.24219,0.13081,1.55119,1.15952,0.9461,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0126578,0.00421925,0.050631,0.016877
28,11149.5,1.63844,1.22298,0.96368,0.35197,0.29433,0.24567,0.13433,1.55082,1.15749,0.94567,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0124852,0.00416175,0.049941,0.016647
29,11544.2,1.64556,1.22356,0.96237,0.38644,0.29893,0.2561,0.13808,1.53822,1.14146,0.94303,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0123079,0.00410262,0.0492315,0.0164105
30,11938.1,1.63604,1.21857,0.96275,0.35725,0.29171,0.24538,0.13343,1.53785,1.14541,0.94362,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0121258,0.00404194,0.0485033,0.0161678
31,12330.7,1.64289,1.2128,0.96039,0.3508,0.29773,0.24624,0.1335,1.5341,1.1471,0.94242,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0119393,0.00397977,0.0477572,0.0159191
32,12726.3,1.62905,1.20342,0.95932,0.37155,0.30392,0.25344,0.13838,1.52871,1.13928,0.93696,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0117485,0.00391616,0.0469939,0.0156646
33,13130.4,1.63496,1.1989,0.95497,0.3708,0.30052,0.25403,0.13936,1.52869,1.12898,0.93835,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.0115535,0.00385117,0.0462141,0.0154047
34,13524.8,1.62228,1.19274,0.95584,0.37634,0.30019,0.25781,0.14039,1.52046,1.12677,0.9403,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0113546,0.00378488,0.0454185,0.0151395
35,13919.7,1.60678,1.18703,0.95539,0.37939,0.30379,0.26116,0.14168,1.51221,1.11438,0.93572,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.011152,0.00371734,0.0446081,0.0148694
36,14314.1,1.60168,1.1823,0.95421,0.37744,0.30348,0.26286,0.1434,1.50216,1.10895,0.9333,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0109459,0.00364863,0.0437835,0.0145945
37,14707.6,1.59645,1.17186,0.95074,0.37216,0.30742,0.26427,0.14487,1.50627,1.10996,0.93178,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0107364,0.0035788,0.0429456,0.0143152
38,15101.8,1.5975,1.16778,0.94894,0.37723,0.31574,0.26381,0.14482,1.50808,1.10663,0.93417,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0105238,0.00350794,0.0420953,0.0140318
39,15494.5,1.59242,1.1672,0.95069,0.37989,0.30834,0.26952,0.14789,1.49375,1.10115,0.93097,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0103083,0.00343611,0.0412333,0.0137444
40,15888.4,1.58583,1.16178,0.94927,0.37451,0.3087,0.26589,0.14574,1.49283,1.10022,0.9294,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0100901,0.00336338,0.0403605,0.0134535
41,16283.3,1.57914,1.15076,0.94623,0.37464,0.31509,0.26751,0.14814,1.49173,1.09577,0.92929,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.00986945,0.00328982,0.0394778,0.0131593
42,16676.2,1.58136,1.15435,0.9456,0.37663,0.31737,0.2689,0.14839,1.48559,1.09124,0.92895,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.00964651,0.0032155,0.038586,0.012862
43,17068.3,1.58508,1.15154,0.94231,0.385,0.30969,0.27137,0.15065,1.49088,1.09031,0.92789,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.00942152,0.00314051,0.0376861,0.012562
44,17462.5,1.57123,1.14068,0.94311,0.39389,0.31259,0.27246,0.15068,1.48227,1.08205,0.92768,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.00919471,0.0030649,0.0367789,0.0122596
45,17856.1,1.561,1.13088,0.94046,0.38824,0.31216,0.27264,0.15165,1.48024,1.08123,0.92726,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.00896631,0.00298877,0.0358652,0.0119551
46,18248.3,1.56356,1.13117,0.93999,0.38701,0.31469,0.27361,0.15232,1.47994,1.08785,0.9259,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.00873653,0.00291218,0.0349461,0.0116487
47,18641.9,1.56137,1.13077,0.94066,0.39364,0.31592,0.2737,0.15269,1.4761,1.0767,0.92531,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0085056,0.0028352,0.0340224,0.0113408
48,19036.5,1.56697,1.12789,0.9387,0.40434,0.3193,0.27977,0.15574,1.47459,1.07161,0.92429,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.00827375,0.00275792,0.033095,0.0110317
49,19429.8,1.54691,1.11398,0.93922,0.39134,0.32891,0.28001,0.15618,1.46873,1.07136,0.92221,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.00804122,0.00268041,0.0321649,0.0107216
50,19825.2,1.54894,1.11463,0.93735,0.39328,0.31977,0.27959,0.15537,1.47128,1.06664,0.92358,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.00780822,0.00260274,0.0312329,0.010411
51,20226.9,1.55153,1.11983,0.93735,0.39713,0.31696,0.27764,0.15533,1.46902,1.07383,0.92087,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.007575,0.002525,0.0303,0.0101
52,20621.1,1.55558,1.11558,0.93697,0.39337,0.32026,0.27725,0.15511,1.46482,1.07212,0.92024,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.00734178,0.00244726,0.0293671,0.00978903
53,21016.7,1.54073,1.10276,0.93518,0.40084,0.31431,0.27853,0.156,1.46141,1.06689,0.92028,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.00710878,0.00236959,0.0284351,0.00947837
54,21412.5,1.53839,1.10543,0.93429,0.40471,0.31467,0.27932,0.15635,1.46621,1.0646,0.9208,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.00687625,0.00229208,0.027505,0.00916833
55,21807.3,1.53478,1.09688,0.93187,0.39258,0.32179,0.28118,0.15694,1.46023,1.06332,0.91863,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0066444,0.0022148,0.0265776,0.0088592
56,22202.6,1.54062,1.09619,0.93193,0.39617,0.32706,0.2835,0.15845,1.45945,1.05916,0.91895,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.00641347,0.00213782,0.0256539,0.0085513
57,22597.1,1.53012,1.09153,0.93208,0.40381,0.31808,0.28266,0.15767,1.46102,1.05845,0.91849,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.00618369,0.00206123,0.0247348,0.00824492
58,22990.9,1.52991,1.08449,0.93004,0.40033,0.32416,0.2837,0.15881,1.45558,1.05514,0.91689,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.00595529,0.0019851,0.0238211,0.00794038
