c2fmoa,c2fmot,cfg,device,imgsz,key,label,latency_ms_max,latency_ms_mean,latency_ms_min,moablocks,motblocks,params,params_m,reps
0,3,ultralytics\cfg\models\master\v0_8\det\yolo-master-mot-n.yaml,cuda:0,640,v08_mot,YOLO-Master v0.8 MoT,391.044,52.735,39.513,0,6,3712284,3.712284,2000
0,3,ultralytics\cfg\models\master\v0_8\det\yolo-master-moe-mot-shared-n.yaml,cuda:0,640,v08_moe_mot_shared,YOLO-Master v0.8 MoE+MoT Cross-Scale Shared (方案D: P3/P4 共享 expert pool),437.204,51.726,37.152,0,6,3013606,3.013606,2000
