epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
37,37872.9,1.53742,1.2064,1.0337,0.01963,0.37292,0.27016,0.25935,0.14488,1.4296,1.09118,0.98988,0,0.006436,0.006436,0.006436,0.003218
38,38773.9,1.53305,1.21262,1.03246,0.01964,0.35414,0.27226,0.25817,0.14354,1.43267,1.08644,0.98943,0,0.006337,0.006337,0.006337,0.0031685
39,39552.5,1.53354,1.20449,1.03139,0.01964,0.36125,0.27372,0.25745,0.14428,1.42369,1.08448,0.98738,0,0.006238,0.006238,0.006238,0.003119
40,40454.2,1.52698,1.1956,1.02579,0.01964,0.37897,0.27171,0.25831,0.14385,1.42145,1.07539,0.98781,0,0.006139,0.006139,0.006139,0.0030695
41,51927.3,1.51704,1.18414,1.02632,0.01964,0.35349,0.27751,0.25972,0.1452,1.41937,1.07881,0.98686,0,0.00604,0.00604,0.00604,0.00302
42,52723.8,1.51668,1.18465,1.02462,0.01964,0.36975,0.27661,0.26222,0.14636,1.41458,1.07326,0.98568,0,0.005941,0.005941,0.005941,0.0029705
43,53438.6,1.51364,1.18648,1.02598,0.01964,0.36062,0.2798,0.26323,0.14727,1.40952,1.07093,0.9858,0,0.005842,0.005842,0.005842,0.002921
44,54303.9,1.51651,1.18206,1.02372,0.01964,0.37732,0.27546,0.26559,0.14849,1.43603,1.08763,0.9838,0,0.005743,0.005743,0.005743,0.0028715
45,56729.1,1.53003,1.19008,1.01768,0.01965,0.37989,0.27533,0.26682,0.14908,1.44069,1.09645,0.98273,0,0.005644,0.005644,0.005644,0.002822
46,57447.3,1.55217,1.21189,1.01798,0.01964,0.37827,0.27949,0.26987,0.15097,1.44208,1.09812,0.97928,0,0.005545,0.005545,0.005545,0.0027725
