epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
1,737.738,5.68567,6.45306,4.32342,1.10884,2e-05,0.00015,0,0,5.87051,18.357,4.20883,0,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00499691,0.00166564,0.0199876,0.00666255
2,1104.14,4.52079,4.65909,3.15002,0.99984,0.0257,0.0802,0.0152,0.00487,3.07721,2.66599,1.67184,0,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298,0.00999447,0.00333149,0.0399779,0.013326
3,1473.5,2.78299,2.54687,1.48402,1.00058,0.15981,0.11413,0.04183,0.01774,2.48917,2.23079,1.28551,0,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817,0.0149823,0.00499409,0.059929,0.0199763
4,1893.39,2.38845,2.14919,1.27242,0.99974,0.23563,0.13773,0.07108,0.03446,2.13761,1.83151,1.17127,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.014967,0.00498902,0.0598682,0.0199561
5,2321.75,2.20199,1.93931,1.18204,0.99994,0.25667,0.14214,0.0861,0.04084,2.02775,1.70214,1.1112,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0149415,0.00498048,0.0597658,0.0199219
6,2740.18,2.08862,1.80642,1.13973,1,0.19651,0.1701,0.10751,0.05372,1.91327,1.62046,1.07998,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0149086,0.00496953,0.0596343,0.0198781
7,3167.4,2.01896,1.7055,1.11283,0.99998,0.30267,0.17945,0.12005,0.05993,1.90586,1.54979,1.07353,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.0148685,0.00495616,0.0594739,0.0198246
8,3587.54,1.96506,1.64282,1.09211,0.99999,0.21251,0.19814,0.12858,0.06394,1.87889,1.48947,1.05775,0,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0148212,0.00494039,0.0592847,0.0197616
9,4016.37,1.91275,1.57569,1.07272,0.99999,0.23676,0.20029,0.1409,0.07359,1.78075,1.42069,1.03624,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0147667,0.00492224,0.0590669,0.019689
10,4427.98,1.89217,1.53844,1.06058,1.00001,0.2492,0.21918,0.15562,0.08168,1.74032,1.38527,1.01891,0,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0147052,0.00490173,0.0588207,0.0196069
11,4854.7,1.85488,1.50199,1.05397,0.99999,0.27818,0.21375,0.16454,0.08596,1.75368,1.3704,1.02791,0,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0146366,0.00487886,0.0585464,0.0195155
12,5269.48,1.85424,1.48767,1.03953,1,0.25363,0.22278,0.16469,0.08612,1.72407,1.36239,1.00522,0,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.014561,0.00485368,0.0582442,0.0194147
13,5698.47,1.84396,1.47211,1.03354,1.00001,0.27745,0.23443,0.1753,0.09387,1.72448,1.33968,1.0007,0,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0144786,0.0048262,0.0579144,0.0193048
14,6114.59,1.82712,1.45099,1.02118,0.99999,0.30668,0.24412,0.18724,0.10229,1.68323,1.32896,0.98959,0,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0143893,0.00479644,0.0575573,0.0191858
15,6538.01,1.81033,1.43678,1.01729,1,0.30923,0.24372,0.19544,0.10441,1.67141,1.30363,0.98201,0,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0142933,0.00476445,0.0571734,0.0190578
16,6952.2,1.79472,1.4203,1.01137,0.99999,0.3251,0.23667,0.2004,0.1077,1.6677,1.29416,0.98621,0,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0141907,0.00473024,0.0567629,0.018921
17,7377.91,1.77979,1.39999,1.00355,1,0.32344,0.24612,0.20484,0.10963,1.63345,1.25937,0.97689,0,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0140816,0.00469386,0.0563263,0.0187754
18,7803.69,1.76271,1.3787,1.00148,1,0.35212,0.25483,0.21327,0.1132,1.63523,1.23847,0.97522,0,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.013966,0.00465534,0.055864,0.0186213
19,8228.07,1.76166,1.37682,0.99792,1,0.32521,0.25906,0.21228,0.11453,1.63371,1.25572,0.97075,0,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0138441,0.00461471,0.0553765,0.0184588
20,8644.53,1.74316,1.35611,0.99431,0.99999,0.32248,0.2642,0.21688,0.11622,1.62124,1.23478,0.96879,0,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0137161,0.00457202,0.0548643,0.0182881
21,9063.67,1.73203,1.33947,0.98708,1,0.35188,0.26132,0.21995,0.11872,1.61913,1.22898,0.96425,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.013582,0.00452732,0.0543278,0.0181093
22,9478.12,1.71709,1.32465,0.98904,1,0.33438,0.26973,0.22754,0.12414,1.59168,1.206,0.9604,0,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0134419,0.00448063,0.0537676,0.0179225
23,9896.21,1.71124,1.31629,0.98537,1,0.34155,0.26721,0.22595,0.12266,1.60579,1.2057,0.96075,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0132961,0.00443202,0.0531842,0.0177281
24,10259.6,1.70006,1.30641,0.98243,1,0.36753,0.26826,0.23218,0.12651,1.59208,1.1982,0.958,0,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0131446,0.00438152,0.0525783,0.0175261
25,10613.7,1.6887,1.28785,0.97988,1,0.35388,0.27355,0.23013,0.12498,1.57414,1.19019,0.95209,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0129876,0.0043292,0.0519504,0.0173168
26,10968.7,1.69544,1.29594,0.97725,1,0.35488,0.28177,0.24184,0.13195,1.56751,1.17761,0.95274,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0128253,0.00427509,0.0513011,0.0171004
27,11366.7,1.68309,1.27895,0.97467,1,0.37124,0.27683,0.23551,0.12808,1.56668,1.17479,0.95145,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0126578,0.00421925,0.050631,0.016877
28,11790,1.67239,1.27117,0.97254,1,0.3498,0.27944,0.23716,0.13028,1.55884,1.18008,0.94748,0,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0124852,0.00416175,0.049941,0.016647
29,12204.9,1.66821,1.26106,0.97121,1,0.37064,0.28766,0.24915,0.13578,1.54671,1.14947,0.94594,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0123079,0.00410262,0.0492315,0.0164105
30,12628.2,1.66289,1.25958,0.96785,1,0.35176,0.28878,0.24804,0.13622,1.53868,1.15024,0.94345,0,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0121258,0.00404194,0.0485033,0.0161678
31,13040.6,1.64704,1.24262,0.9648,0.99999,0.37924,0.29257,0.25291,0.13733,1.53916,1.14048,0.94414,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0119393,0.00397977,0.0477572,0.0159191
32,13463.3,1.65444,1.24561,0.96886,1,0.38354,0.28973,0.25027,0.13654,1.53769,1.14476,0.9434,0,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0117485,0.00391616,0.0469939,0.0156646
33,13877.1,1.65277,1.23507,0.96313,1.00001,0.36971,0.30005,0.25722,0.14058,1.52689,1.13162,0.94052,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.0115535,0.00385117,0.0462141,0.0154047
34,14303.6,1.64487,1.2335,0.96063,1,0.37427,0.29469,0.256,0.13936,1.5335,1.13296,0.9412,0,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0113546,0.00378488,0.0454185,0.0151395
35,14723,1.64372,1.23225,0.96365,1,0.39047,0.28792,0.25377,0.13969,1.52521,1.12852,0.93776,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.011152,0.00371734,0.0446081,0.0148694
36,15143.7,1.63521,1.22034,0.96191,1,0.38118,0.29558,0.2585,0.14117,1.51873,1.12156,0.93656,0,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0109459,0.00364863,0.0437835,0.0145945
37,15565.9,1.63722,1.21991,0.96075,1,0.38232,0.30485,0.26102,0.14239,1.51559,1.11777,0.93456,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0107364,0.0035788,0.0429456,0.0143152
