layer,expert,kernel_size,mean_weight,is_top_k
model.3,0,3,0.0,0
model.3,1,5,0.0,0
model.3,2,7,0.3622962534427643,1
model.3,3,9,0.6377035975456238,1
model.6,0,3,0.5380844473838806,1
model.6,1,5,0.4619155526161194,1
model.6,2,7,0.0,0
model.6,3,9,0.0,0
model.9,0,3,0.0,0
model.9,1,5,0.5029336214065552,1
model.9,2,7,0.4970663785934448,1
model.9,3,9,0.0,0
model.12,0,3,0.2996664345264435,1
model.12,1,5,0.0,0
model.12,2,7,0.0,0
model.12,3,9,0.7003335356712341,1
