epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
73,2818.81,1.51289,1.08336,0.9242,1.00001,0.09577,0.09411,0.03546,0.01456,2.63164,2.96562,1.25874,0,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00284213,0.000947376,0.0113685,0.0037895
74,3199.7,1.51241,1.0783,0.92493,1.00001,0.09809,0.08364,0.03071,0.01263,2.70183,3.11779,1.28053,0,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00266476,0.000888253,0.010659,0.00355301
75,3571.2,1.51354,1.08025,0.92365,1.00001,0.08054,0.07283,0.02343,0.00986,2.81605,3.29448,1.31235,0,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00249224,0.000830746,0.00996895,0.00332298
76,3989.48,1.50661,1.06924,0.92205,1,0.08858,0.07543,0.02707,0.01116,2.74334,3.22726,1.28932,0,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00232473,0.000774911,0.00929893,0.00309964
77,4430.27,1.51185,1.07172,0.92041,0.99999,0.10242,0.08112,0.03055,0.01239,2.7165,3.17089,1.27558,0,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00216241,0.000720803,0.00864963,0.00288321
78,4879.14,1.50099,1.06688,0.92309,1.00001,0.08363,0.07753,0.02693,0.01101,2.74976,3.29213,1.29567,0,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00200543,0.000668475,0.0080217,0.0026739
79,5319.86,1.5083,1.06961,0.91892,1.00003,0.10652,0.08601,0.0322,0.01314,2.70657,3.17038,1.28084,0,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00185394,0.00061798,0.00741576,0.00247192
80,5765.81,1.50875,1.06498,0.92069,0.99997,0.08512,0.07615,0.02506,0.00998,2.78095,3.29203,1.30348,0,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0017081,0.000569366,0.0068324,0.00227747
81,6206.61,1.50411,1.06254,0.91777,0.99998,0.07928,0.07259,0.02374,0.0094,2.80671,3.32435,1.31218,0,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.00156805,0.000522683,0.0062722,0.00209073
82,6656.46,1.50155,1.06272,0.91972,1.00004,0.08726,0.06479,0.02151,0.00853,2.82416,3.38977,1.3207,0,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00143393,0.000477976,0.00573571,0.0019119
83,7093.15,1.5004,1.05981,0.92018,1,0.08613,0.07019,0.02379,0.00947,2.83288,3.3733,1.31903,0,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00130587,0.000435288,0.00522346,0.00174115
84,7535.16,1.49671,1.0551,0.91682,0.99999,0.08241,0.06906,0.02319,0.00911,2.82246,3.41584,1.31021,0,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00118399,0.000394663,0.00473596,0.00157865
85,7975.62,1.49489,1.05447,0.91967,1,0.07811,0.07372,0.0233,0.00932,2.84261,3.3846,1.31158,0,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00106842,0.000356141,0.00427369,0.00142456
86,8424.26,1.50167,1.05766,0.91968,1.00001,0.08411,0.07317,0.02378,0.00972,2.83233,3.34628,1.31128,0,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.000959277,0.000319759,0.00383711,0.00127904
87,8867.12,1.49318,1.0517,0.91884,0.99998,0.07752,0.07265,0.02294,0.00923,2.84288,3.34465,1.3105,0,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.000856659,0.000285553,0.00342664,0.00114221
88,9311.05,1.49357,1.05276,0.91602,1,0.08473,0.07861,0.02592,0.01038,2.83278,3.35036,1.30536,0,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.000760672,0.000253557,0.00304269,0.00101423
89,9756.81,1.48466,1.04644,0.91814,1.00003,0.08864,0.07679,0.02595,0.01028,2.82831,3.36541,1.30469,0,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00067141,0.000223803,0.00268564,0.000895213
90,10204.9,1.48749,1.0449,0.91825,0.99997,0.08866,0.07888,0.02549,0.01025,2.80834,3.32203,1.30264,0,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00058896,0.00019632,0.00235584,0.00078528
91,10658.4,1.4612,1.0315,0.92087,1.00002,0.06324,0.06904,0.01654,0.00635,2.8699,3.3668,1.32757,0,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.000513405,0.000171135,0.00205362,0.00068454
92,11120.1,1.45639,1.02307,0.91559,1.00002,0.04249,0.09468,0.01244,0.00483,2.88993,3.47203,1.34308,0,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000444819,0.000148273,0.00177928,0.000593093
93,11546.1,1.45142,1.01478,0.9184,0.99999,0.0332,0.10517,0.01208,0.00463,2.90477,3.53347,1.35485,0,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00038327,0.000127757,0.00153308,0.000511027
94,802.964,1.49229,1.05415,0.91948,1.00003,0.03337,0.10521,0.01214,0.00466,2.90289,3.53181,1.35407,0,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000328818,0.000109606,0.00131527,0.000438424
95,1295.62,1.47962,1.03456,0.91387,1,0.05246,0.07314,0.0116,0.00453,2.89823,3.60433,1.33833,0,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000281517,9.38391e-05,0.00112607,0.000375356
96,1754.89,1.47167,1.03536,0.91448,0.99997,0.07052,0.05943,0.01545,0.00619,2.92022,3.59903,1.34051,0,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000241414,8.04714e-05,0.000965656,0.000321885
97,2175.58,1.46988,1.03098,0.91521,1.00001,0.06918,0.06818,0.01899,0.00773,2.88004,3.54702,1.32406,0,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000208548,6.95161e-05,0.000834193,0.000278064
98,2595.96,1.48019,1.03608,0.91398,0.99997,0.07527,0.07146,0.02231,0.00894,2.84737,3.48447,1.31413,0,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000182952,6.09841e-05,0.00073181,0.000243937
99,3015.81,1.47267,1.0355,0.91387,1.00003,0.07791,0.07132,0.02332,0.0094,2.84274,3.45634,1.31323,0,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000164652,5.48838e-05,0.000658606,0.000219535
100,3489.54,1.47405,1.03331,0.9145,0.99999,0.08048,0.07266,0.02437,0.0098,2.83046,3.42629,1.31023,0,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000153664,5.12213e-05,0.000614655,0.000204885
