layer,expert,kernel_size,mean_weight,is_top_k
model.3,0,3,0.0,0
model.3,1,5,0.0,0
model.3,2,7,0.47475436329841614,1
model.3,3,9,0.5252456068992615,1
model.6,0,3,0.0,0
model.6,1,5,0.5615707039833069,1
model.6,2,7,0.0,0
model.6,3,9,0.4384292960166931,1
model.9,0,3,0.0,0
model.9,1,5,0.44576355814933777,1
model.9,2,7,0.5542364716529846,1
model.9,3,9,0.0,0
model.12,0,3,0.5068955421447754,1
model.12,1,5,0.0,0
model.12,2,7,0.0,0
model.12,3,9,0.493104487657547,1
