mode,latency_ms,compute_experts,note
hard_default_sparse,29.202,2/4 (sparse),推理 Hard Top-K，默认 _eager_sparse_enabled=True
dense_forced,33.933,4/4 (dense),强制 dense softmax，所有 4 个专家都计算
