layer,expert,kernel_size,mean_weight,is_top_k
model.3,0,3,0.0,0
model.3,1,5,0.0,0
model.3,2,7,0.279557466506958,1
model.3,3,9,0.7204425930976868,1
model.6,0,3,0.5996255874633789,1
model.6,1,5,0.0,0
model.6,2,7,0.0,0
model.6,3,9,0.4003744125366211,1
model.9,0,3,0.0,0
model.9,1,5,0.42300188541412354,1
model.9,2,7,0.5769979357719421,1
model.9,3,9,0.0,0
model.12,0,3,0.42694664001464844,1
model.12,1,5,0.0,0
model.12,2,7,0.0,0
model.12,3,9,0.5730533599853516,1
