DeformableTransformer_mean_weight,DeformableTransformer_top1_token_frac,LocalConvTransformer_mean_weight,LocalConvTransformer_top1_token_frac,WindowTransformer_mean_weight,WindowTransformer_top1_token_frac,density,image,module,object_count,occlusion,scale,shape,top_expert
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_02500_d_0000029.jpg,model.23.m.0,17,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_02500_d_0000029.jpg,model.23.m.1,17,unknown,small,irregular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03000_d_0000030.jpg,model.14.m.0,13,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03000_d_0000030.jpg,model.14.m.1,13,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03000_d_0000030.jpg,model.20.m.0,13,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03000_d_0000030.jpg,model.20.m.1,13,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03000_d_0000030.jpg,model.23.m.0,13,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,medium,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03000_d_0000030.jpg,model.23.m.1,13,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03500_d_0000031.jpg,model.14.m.0,23,unknown,mixed,regular,LocalConvTransformer
0.0,0.0,0.5,1.0,0.5,0.0,dense,G:\Codes\Python\CFF\Yolo\datasets\VisDrone\images\val\0000026_03500_d_0000031.jpg,model.14.m.1,23,unknown,mixed,regular,LocalConvTransformer
