layer,expert,kernel_size,mean_weight,is_top_k
model.3,0,3,0.0,0
model.3,1,5,1.0,1
model.3,2,7,0.0,0
model.3,3,9,0.0,0
model.6,0,3,0.0,0
model.6,1,5,1.0,1
model.6,2,7,0.0,0
model.6,3,9,0.0,0
model.9,0,3,0.0,0
model.9,1,5,1.0,1
model.9,2,7,0.0,0
model.9,3,9,0.0,0
model.12,0,3,1.0,1
model.12,1,5,0.0,0
model.12,2,7,0.0,0
model.12,3,9,0.0,0
