epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
20,9739.8,1.74079,1.35857,0.99474,0.99996,0.33242,0.26086,0.21299,0.11518,1.62438,1.24126,0.96789,0,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0137161,0.00457202,0.0548643,0.0182881
21,10194.8,1.73179,1.3431,0.98816,1,0.30946,0.26279,0.21179,0.11396,1.62025,1.23177,0.96519,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.013582,0.00452732,0.0543278,0.0181093
22,10663.6,1.71575,1.32952,0.98888,1,0.33416,0.26549,0.21608,0.11692,1.60673,1.21952,0.96185,0,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0134419,0.00448063,0.0537676,0.0179225
23,11148.4,1.71171,1.31986,0.98559,0.99997,0.33485,0.27293,0.22543,0.12241,1.59847,1.20152,0.96302,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0132961,0.00443202,0.0531842,0.0177281
24,11725.4,1.70021,1.31121,0.98289,1.00001,0.37013,0.26,0.22838,0.12319,1.59604,1.20068,0.96006,0,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0131446,0.00438152,0.0525783,0.0175261
25,12187.4,1.68859,1.29076,0.97982,1.00001,0.33727,0.27292,0.22667,0.12252,1.58698,1.20802,0.9544,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0129876,0.0043292,0.0519504,0.0173168
26,12649.6,1.69393,1.29946,0.97649,0.99996,0.35537,0.27775,0.23634,0.12775,1.57751,1.18411,0.95387,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0128253,0.00427509,0.0513011,0.0171004
27,13110.2,1.6822,1.28232,0.97441,0.99999,0.3681,0.2726,0.23686,0.13018,1.5702,1.17347,0.95333,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0126578,0.00421925,0.050631,0.016877
28,13569.5,1.67161,1.27462,0.97161,1.00005,0.35664,0.28598,0.24038,0.13178,1.55807,1.1727,0.94647,0,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0124852,0.00416175,0.049941,0.016647
29,14029.5,1.66825,1.2636,0.97079,0.99996,0.37404,0.28635,0.24584,0.13427,1.54861,1.16058,0.94555,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0123079,0.00410262,0.0492315,0.0164105
30,14492.4,1.66328,1.26359,0.96727,1.00002,0.35897,0.29234,0.2489,0.13535,1.54166,1.15264,0.94461,0,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0121258,0.00404194,0.0485033,0.0161678
31,14954.9,1.64939,1.24628,0.96493,0.99999,0.38206,0.27927,0.24944,0.1366,1.53959,1.14584,0.9428,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0119393,0.00397977,0.0477572,0.0159191
32,15420.3,1.65475,1.25053,0.9685,0.99998,0.38393,0.28747,0.25005,0.13772,1.53713,1.14973,0.94423,0,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0117485,0.00391616,0.0469939,0.0156646
33,15883.2,1.65099,1.23792,0.96274,1.00001,0.38562,0.2854,0.25646,0.14049,1.52704,1.13336,0.94323,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.0115535,0.00385117,0.0462141,0.0154047
34,16348.1,1.64569,1.23978,0.9606,0.99996,0.38965,0.28826,0.25881,0.14155,1.53127,1.13265,0.94411,0,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0113546,0.00378488,0.0454185,0.0151395
35,16806.5,1.6433,1.23529,0.96252,1.00002,0.37975,0.29659,0.25766,0.14192,1.52494,1.13193,0.93904,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.011152,0.00371734,0.0446081,0.0148694
36,17274.2,1.63592,1.22605,0.96121,0.99999,0.37889,0.29816,0.26095,0.14457,1.51844,1.12313,0.93788,0,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0109459,0.00364863,0.0437835,0.0145945
37,17733,1.63766,1.22447,0.95946,0.99999,0.4002,0.2923,0.26536,0.14674,1.51491,1.11709,0.93657,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0107364,0.0035788,0.0429456,0.0143152
38,18196.6,1.63029,1.21368,0.95576,1.00001,0.37908,0.2999,0.2615,0.14539,1.51136,1.12429,0.93593,0,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0105238,0.00350794,0.0420953,0.0140318
39,18658.2,1.61959,1.2052,0.95229,1.00003,0.37254,0.30494,0.26315,0.1456,1.50739,1.11486,0.93318,0,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0103083,0.00343611,0.0412333,0.0137444
40,19124.2,1.6136,1.1957,0.95395,0.99999,0.39544,0.30753,0.27009,0.1485,1.49804,1.10294,0.93113,0,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0100901,0.00336338,0.0403605,0.0134535
41,19582.8,1.60718,1.19486,0.95244,0.99999,0.38626,0.30323,0.266,0.14781,1.49955,1.10515,0.93212,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.00986945,0.00328982,0.0394778,0.0131593
42,20049.2,1.61138,1.19376,0.95126,1,0.38705,0.30675,0.27145,0.15097,1.49224,1.09636,0.93267,0,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.00964651,0.0032155,0.038586,0.012862
43,20506,1.60759,1.19031,0.95012,1,0.39055,0.29977,0.26699,0.14992,1.4925,1.10304,0.92977,0,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.00942152,0.00314051,0.0376861,0.012562
44,20968.5,1.59329,1.17918,0.9511,0.99999,0.38826,0.30822,0.27211,0.15065,1.48743,1.09401,0.92897,0,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.00919471,0.0030649,0.0367789,0.0122596
45,21430.5,1.59821,1.17859,0.9482,1.00001,0.38999,0.3108,0.27501,0.15267,1.48646,1.08621,0.93008,0,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.00896631,0.00298877,0.0358652,0.0119551
46,21890.6,1.59867,1.17958,0.94768,0.99998,0.39437,0.30762,0.27455,0.15318,1.48363,1.08609,0.92902,0,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.00873653,0.00291218,0.0349461,0.0116487
47,22352.8,1.57723,1.16085,0.94637,1.00002,0.41264,0.30466,0.27955,0.15602,1.48074,1.08381,0.92809,0,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0085056,0.0028352,0.0340224,0.0113408
48,22816.9,1.57695,1.16281,0.94262,1,0.41828,0.31119,0.2818,0.15735,1.47385,1.07676,0.92503,0,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.00827375,0.00275792,0.033095,0.0110317
49,23277.4,1.58343,1.15932,0.94326,0.99998,0.39245,0.32001,0.28196,0.15723,1.47142,1.0726,0.92512,0,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.00804122,0.00268041,0.0321649,0.0107216
50,23736.8,1.57314,1.14973,0.94216,1.00001,0.39545,0.31771,0.28447,0.15925,1.47039,1.07154,0.92448,0,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.00780822,0.00260274,0.0312329,0.010411
51,24193.4,1.57417,1.15196,0.93853,0.99999,0.40853,0.31224,0.28611,0.15982,1.46664,1.0694,0.9227,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.007575,0.002525,0.0303,0.0101
52,24650.1,1.57357,1.15098,0.94173,0.99999,0.40804,0.31463,0.28481,0.15918,1.46331,1.06765,0.92424,0,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.00734178,0.00244726,0.0293671,0.00978903
53,25104.9,1.57008,1.14663,0.93969,1.00001,0.4021,0.3164,0.28623,0.1613,1.46594,1.06498,0.92341,0,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.00710878,0.00236959,0.0284351,0.00947837
54,25564.2,1.5733,1.14678,0.94135,1,0.38563,0.32246,0.28388,0.15878,1.46247,1.06595,0.92168,0,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.00687625,0.00229208,0.027505,0.00916833
55,26027.2,1.55852,1.13764,0.9389,1.00001,0.41148,0.31786,0.28793,0.1611,1.46129,1.06236,0.92288,0,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0066444,0.0022148,0.0265776,0.0088592
56,26486,1.55269,1.12557,0.93519,0.99998,0.4023,0.32215,0.2902,0.16292,1.45867,1.06033,0.92236,0,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.00641347,0.00213782,0.0256539,0.0085513
57,26944.9,1.55003,1.12346,0.93795,1.00001,0.40648,0.32003,0.28935,0.16271,1.45161,1.05636,0.92056,0,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.00618369,0.00206123,0.0247348,0.00824492
58,27402.9,1.5536,1.12583,0.93576,1,0.40366,0.32092,0.29155,0.16422,1.45475,1.05489,0.92037,0,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.00595529,0.0019851,0.0238211,0.00794038
59,27864.7,1.54076,1.11514,0.93469,1.00001,0.40995,0.31979,0.29008,0.16362,1.454,1.05414,0.92083,0,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.00572848,0.00190949,0.0229139,0.00763797
60,28316.6,1.54624,1.11625,0.93408,1,0.41138,0.32192,0.29181,0.16356,1.44936,1.0535,0.9191,0,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.00550349,0.0018345,0.022014,0.00733799
61,28778.7,1.53861,1.11097,0.93303,1,0.39807,0.32815,0.29591,0.16626,1.44539,1.04741,0.91948,0,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.00528055,0.00176018,0.0211222,0.00704073
62,29237.4,1.54686,1.11551,0.9337,1.00001,0.40692,0.32572,0.29747,0.16728,1.44551,1.04683,0.91982,0,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.00505987,0.00168662,0.0202395,0.00674649
63,29700.1,1.54619,1.11086,0.9335,0.99999,0.41994,0.32222,0.29533,0.16674,1.44495,1.0438,0.91768,0,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00484168,0.00161389,0.0193667,0.00645557
64,30155.8,1.53702,1.10647,0.92977,1.00003,0.41025,0.32803,0.29754,0.16705,1.44395,1.04365,0.91786,0,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00462618,0.00154206,0.0185047,0.00616824
65,30617.6,1.53366,1.10622,0.93208,0.99999,0.41316,0.3235,0.29562,0.16721,1.44291,1.04417,0.91737,0,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00441359,0.0014712,0.0176544,0.00588479
66,31075,1.53575,1.10619,0.92825,0.99998,0.4136,0.32814,0.29594,0.16607,1.44228,1.0428,0.91702,0,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00420412,0.00140137,0.0168165,0.00560549
67,31543.6,1.52795,1.09764,0.9292,1.00001,0.4251,0.3267,0.30036,0.16881,1.44062,1.03869,0.91628,0,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00399798,0.00133266,0.0159919,0.00533064
68,31999.1,1.52481,1.09375,0.93045,1,0.40937,0.33252,0.29937,0.16812,1.43925,1.03754,0.91622,0,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00379537,0.00126512,0.0151815,0.00506049
69,32460.2,1.5199,1.09083,0.92882,1,0.41533,0.32887,0.29993,0.16886,1.43821,1.03636,0.91683,0,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00359649,0.00119883,0.0143859,0.00479531
70,32916,1.52386,1.08715,0.92818,1,0.41784,0.32612,0.29865,0.16814,1.43503,1.0365,0.91682,0,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00340153,0.00113384,0.0136061,0.00453537
71,33382.3,1.52958,1.09332,0.92746,1,0.4069,0.33541,0.29841,0.16847,1.43641,1.03508,0.9158,0,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00321069,0.00107023,0.0128428,0.00428093
72,33831.8,1.5161,1.08189,0.92489,1.00001,0.41183,0.33123,0.29927,0.16906,1.43325,1.03318,0.91545,0,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00302417,0.00100806,0.0120967,0.00403222
73,34299.1,1.51451,1.07966,0.9262,1.00001,0.42021,0.32844,0.30035,0.16961,1.43305,1.03228,0.91543,0,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00284213,0.000947376,0.0113685,0.0037895
74,34756.7,1.51018,1.07932,0.92565,0.99998,0.41413,0.33222,0.30151,0.17053,1.43224,1.02993,0.91524,0,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00266476,0.000888253,0.010659,0.00355301
75,35224.7,1.49909,1.06952,0.92524,1.00001,0.41757,0.32844,0.30237,0.17018,1.43074,1.02844,0.91437,0,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00249224,0.000830746,0.00996895,0.00332298
76,35684,1.51047,1.07575,0.92575,1,0.41791,0.33318,0.30401,0.17133,1.43038,1.02685,0.91442,0,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00232473,0.000774911,0.00929893,0.00309964
77,36150,1.51477,1.07024,0.92423,1.00001,0.42239,0.32936,0.30436,0.17189,1.43062,1.02721,0.91445,0,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00216241,0.000720803,0.00864963,0.00288321
78,36610.5,1.49773,1.06362,0.92503,1.00001,0.42456,0.32931,0.30308,0.17093,1.43031,1.02626,0.91423,0,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00200543,0.000668475,0.0080217,0.0026739
79,37077.6,1.49869,1.06403,0.92349,0.99999,0.41792,0.33436,0.30559,0.17223,1.43086,1.02635,0.91416,0,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00185394,0.00061798,0.00741576,0.00247192
